,text,label,clean_text
0," First, when trying to manage our booking, it didn't accept our booking ref.no., but it accepted the e-ticket number. Our flight is from Phnom Penh to Colombo via Kuala Lumpur (self check-in in KL). It only gave me itinerary for the flight from Phnom Penh to Kuala Lumpur and only for one traveler, altough there are two of us. While trying to manage our booking, the booking confirmation was sent to a weird and suspicious e-mail and my contact number was removed and changed into a Chinese phone number. After I changed this strange e-mail to my e-mail address, I received the booking confirmation in Chinese only. All this made us very suspicious and we tried to contact AirAsia office with a number from their website. However, the phone operator informed me that this number doesn't exist. We are now not sure what to do.",0,first trying manage booking didnt accept booking refno accepted eticket number phnom penh colombo via kuala lumpur self checkin gave itinerary phnom penh kuala lumpur one traveler altough two us trying manage booking booking confirmation sent weird suspicious email contact number removed changed chinese phone number changed strange email email address received booking confirmation chinese made us suspicious tried contact airasia office number website however phone operator informed number doesnt exist sur
1,  Terrible airline. No flexibility and really poor customer service. Flight was delayed 2 hours due to operational circumstances. Missed our check in at our hotel which I made them aware of and didn’t bother putting us in a hotel. ,0,terrible airline flexibility really poor customer service delayed hours due operational circumstances missed check hotel made aware didnt bother putting us hotel
2," If you want endless frustration dealing with an AI instead of real customer service, then this might be the place for you. It is almost as if this company intentionally tries to make it difficult so they don’t have to help you.",0,want endless frustration dealing ai instead real customer service might place almost company intentionally tries make difficult dont help
3, Flight cancelled by airline shortly before flight but refund not received. Calling or chatting to human is impossible and AI bot gives irrelevant answers but doesn't solve your issue. Then after that says my details can not be verified or time limit is up so cut you off repeatedly even if you try different ways to refer.,0,cancelled airline shortly refund received calling chatting human impossible ai bot gives irrelevant answers doesnt solve issue says details verified time limit cut repeatedly even try different ways ref
4,  Terrible airline. The outbound flight is delayed 3 hours. For the return flight they rescheduled it really early in the morning. We got to the airport then we had a msg that it has been put back to the original time. Missed out on my  hotel breakfast to waste 4 additional hours sitting round at the filthy airport.,0,terrible airline outbound delayed hours return rescheduled really early morning got airport msg put back original time missed hotel breakfast waste additional hours sitting round filthy airport
5," Warning: AirAsia booking policies are deceptive! You can search for the best ticket price for a route and think that AirAsia is the lowest, but one page before you pay, AirAsia adds a significant ""processing fee"" without warning such that you cannot compare AirAsia's ticket price to another airline! The only way to check for the accurate ticket price is to go all the way through the booking process and almost purchase the ticket. This is unfair and deceptive! Stay vigilant!",0,warning airasia booking policies deceptive search best ticket price route think airasia lowest one page pay airasia adds significant processing fee without warning cannot compare airasias ticket price another airline way check accurate ticket price go way booking process almost purchase ticket unfair deceptive stay vigil
6,"  I book premium flatbed to and from KUL-Taipei, I spent over RM8000 for my wife and my tickets. We leave KUL on Christmas eve. The flight have been delayed first from 10 am to 1:30 and the gate was changed from one site of the large airport to the other side of the airport, we are asked to checked in but was usher to another room for more waiting. The flight finally left around 2:30-3:00 Pm for Taipei. At least we still have the flatbed seat we book to relax on the flight. Later on the return trip, the flight was delayed, and during checked in I realised the seat number are not consistent with my booking, so i asked the ground crew about it and was told not to worry as i still have my seat I booked .. it is a lie. We were shocked when we walk into the cabin as the configuration of the plane is different from our booking. there are no flatbed on this plane, up until now, no one have the decency to let me know about this changes. Later during the flight I asked one of the stewardess how to request for a refund for my premium flatbed booking and was told i need to make an online feedback on their website. I make the feedback after on the 3rd day after returning to KL and I didn't receive any email or message reply. last i check i have a RM400+ credit in my account which i assume is from that flight but i am not sure as i never received any response. This is a lousy way to treat your customer. I make a vow to myself not to ever fly AirAsia again. ",0,book premium flatbed kultaipei spent rm wife tickets leave kul christmas eve delayed first gate changed one site large airport side airport asked checked usher another room waiting finally left around pm taipei least still flatbed seat book relax later return trip delayed checked realised seat number consistent booking asked ground crew told worry still seat booked lie shocked walk cabin configuration plane different booking flatbed plane one decency let know changes later asked one stewardess request refund premium flatbed booking told need make online feedback website make feedback rd day returning didnt receive email message reply last check rm credit account assume sure never received response lousy way treat customer make vow ever fly airasia
7,"  We had booked our return ticket from Bali to Delhi via Kuala Lumpur at 1.30 pm on Jan 8th 2023. We get a sms which states the flight is preponed to 7am reason not known. Our flight to India is scheduled at 7pm, no other flight before that. We are forced to stay in Kuala Lumpur airport till 7pm. Thank you AirAsia for totally screwing the entire day for no genuine reason. ",0,booked return ticket bali delhi via kuala lumpur pm jan th get sms states preponed reason known india scheduled pm forced stay kuala lumpur airport till pm thank airasia totally screwing entire day genuine reason
8,"  I am on a trip with family of 4 on a leisure trip. We bought a ticket on 6pm flying from Tawau to Kuala Lumpur. But was informed about the flight change to 8:40pm after few days prior to departing. To make matter worse, the flight further delay to 9:25pm after we checked in on departure date. Bad experience of this airline, avoid at all costs if you can. ",0,trip family leisure trip bought ticket pm flying tawau kuala lumpur informed change pm days prior departing make matter worse delay pm checked departure date bad experience airline avoid cost
9, ZERO OUT OF 100. Worst airline I have ever flown. Nothing on time. Nothing organized. Was selectively pulled out to have bags weighed and charged more. Extra 900 pesos for a carry on that weighed 8kg. Flight was delayed at every stop. Didn't arrive to catch our transport in Puerto Princesa on time. Then again leaving the flight was delayed an hour. Still sitting here as a matter of fact. Philippines Airlines and Cebu Pacific both moving smooth on either side of us.,0,zero worst airline ever flown nothing time nothing organized selectively pulled bags weighed charged extra pesos carry weighed kg delayed every stop didnt arrive catch transport puerto princesa time leaving delayed hour still sitting matter fact philippines airlines cebu pacific moving smooth either side us
10,"  We had booked a flight (AK882) from Kuala Lumpur on 11.30am on 12/24/2022 to Bangkok. This flight was booked six months ago so that we can leave for Thailand after staying two days in KL. On 12/21/2022, we were notified by AirAsia via email that our flight (AK882) was cancelled due to aircraft downsize and we were re-scheduled to leave KL at 6.50am the next day (12/25/2022). Out of curiosity, we did an online search and we saw AirAsia still have other flights available from KL to Bangkok on 12/24/2022, but with higher ticket price, so we contact AirAsia support via chat and tell them that we have to be in Bangkok on 12/24 for our vacation activities and hoped they could re-schedule us to the same day flights. To our surprise, the support staff were not helpful at all by keeping on saying ""no, we don't have any seat available for flights on 12/24"". We ended up rebooking our flight with Malaysia Airlines to fly to Bangkok on 12/24. We are still awaiting the refunds for the canceled flight from AirAsia. ",0,booked kuala lumpur bangkok booked six months ago leave thailand staying two days notified airasia via email cancelled due aircraft downsize rescheduled leave next day curiosity online search saw airasia still flights available bangkok higher ticket price contact airasia support via chat tell bangkok vacation activities hoped could reschedule us day flights surprise support staff helpful keeping saying dont seat available flights ended rebooking malaysia airlines fly bangkok still awaiting refunds canceled airasia
11,"  My worst flight experience ever. I travelled with my friends and I wasn't checked in, whereas my friends were. On being asked why, the guy at the counter said that the plane was downsized and there were no more seats! Just think of that! My ticket was already booked and confirmed way back in October. We wasted more than one hour trying to convince the guy to give me a ticket but to no avail. Finally after giving the an ultimatum, he finally checked me in, and can you believe it, there were 7 unoccupied seats on the plane. I'll never recommend Air Asia.",0,worst experience ever travelled friends wasnt checked whereas friends asked guy counter said plane downsized seats think ticket already booked confirmed way back october wasted one hour trying convince guy give ticket avail finally giving ultimatum finally checked believe unoccupied seats plane ill never recommend air asia
12," AirAsia cancelled / postponed my flight and allowed for one time change of schedule for free and this is all done through their chatbot called AVA. however, I made a mistake by choosing wrong departure date, this isn't fixable by their chatbot, but I found a way to actually get in touch with real human customer service through the chat service. Had to wait for an hour of 200 people queuing, when it finally my chance, I wrote my inquiries and they just disconnected without answer. It happened TWICE. Like what other reviewers said, be careful with customer service of this airline, as it is basically non existent. Not reachable by phone either. They will either let you speak with a chatbot or refer you to a human agent that just don't care and disconnect you at will.",0,airasia cancelled postponed allowed one time change schedule free done chatbot called however made mistake choosing wrong departure date isnt fixable chatbot found way actually get touch real human customer service chat service wait hour people queuing finally chance wrote inquiries disconnected without answer happened twice like reviewers said careful customer service airline basically non existent reachable phone either either let speak chatbot refer human agent dont care disconnect
13,"  I was notified that my flight was cancelled, so I requested a refund. Today at the airport I saw the flight I had booked flew today. Asking for answers from AirAsia they tried to blame me “just to clarify, you are asking for a refund for the missed flight?” ",0,notified cancelled requested refund today airport saw booked flew today asking answers airasia tried blame clarify asking refund miss
14,"  Be careful on the Air Asia site as you think you are booking through Air Asia and then suddenly you are booking the flights you selected through kiwi.com - but it still looks like Air Asia! My flights were rescheduled to the next day but I was not notified. I turned up at the airport to find out my flight wouldn’t be until the next day. Air Asia blamed kiwi.com and kiwi.com blamed Air Asia. I was not offered any compensation for the lost accommodation fees or expensive Uber to the airport, nothing. Neither Air Asia or kiwi.com would accept any responsibility. I hate to think what would’ve happened if I had a connecting flight. Do not book through Air Asia or kiwi.com, it’s not worth the trouble.",0,careful air asia site think booking air asia suddenly booking flights selected kiwicom still looks like air asia flights rescheduled next day notified turned airport find wouldnt next day air asia blamed kiwicom kiwicom blamed air asia offered compensation lost accommodation fees expensive uber airport nothing neither air asia kiwicom would accept responsibility hate think wouldve happened connecting book air asia kiwicom worth troubl
15,"  Online system allowed to buy hot seats but after boarded the plane, my wife and my son were asked to give up our hot seats for normal ones because my teenage son is below the age requirement. Manage to navigate a way to submit a case to the airline via the app. Within a week, the case was closed just like that.  Worst customer service.",0,online system allowed buy hot seats boarded plane wife son asked give hot seats normal ones teenage son age requirement manage navigate way submit case airline via app within week case closed like worst customer servic
