,text,label,clean_text
0,"  Being re-booked on this flight I was not really thrilled by the option given as definitely Lion Air isn’t my favourite airline. One of the reasons is the poor seat-pitch one gets. Must admit I was pleased to get an emergency exit seat, with lots of place to stretch out. Moreover, I was excited to fly on a Boeing 737-900, which is not common (though Lion Air has many of them). With the usual non-existing service (nor offer to sell onboard) I noticed an elevated number of flight attendants. Though flight was quite turbulent, we landed safely.",0,rebooked really thrilled option given definitely isnt favourite airline one reasons poor seatpitch one gets must admit pleased get emergency exit seat lots place stretch moreover excited fly boeing common though many usual nonexisting service offer sell onboard noticed elevated number attendants though quite turbulent landed saf
1,"  Filthy airplane, delays, and no whatsoever interaction with the crew besides welcome and goodbye. Horrible check-in (disorganised), after boarding a delay without any explanation, with people sporadically walking in (even after take off time was well beyond), no one to be seen during the 1,5 flight (not to buy some water, not to mention proactively offering something). To top it the disgraceful luggage collection at Soekarno Hatta Airport, which takes ages and truly is something they should be ashamed of.",0,filthy airplane delays whatsoever interaction crew besides welcome goodbye horrible checkin disorganised boarding delay without explanation people sporadically walking even take time well beyond one seen buy water mention proactively offering something top disgraceful luggage collection soekarno hatta airport takes ages truly something asham
2,"  Makassar to Surabaya. Searching for the cheapest on this route, but finally get this airlines, but finally realize this is not cheap enough. A little bit delay, because high traffic before take off.",0,makassar surabaya searching cheapest route finally get airlines finally realize cheap enough little bit delay high traffic tak
3,"  Makassar to Singapore via Jakarta. Expensive baggage price, and a crowded flight, The check-in took around 50 minutes, quite upset with the check-in service, but the staff is trying to do their best and help us.",0,makassar singapore via jakarta expensive baggage price crowded checkin took around minutes quite upset checkin service staff trying best help us
4,  Jakarta to Denpasar. Due to take off 7 pm. Delay information at 6.30. No more info. Reason not clear. Got refreshment at 9.35. Read from TV monitor stated delayed 22.10. A very bad expererience. Bad communication service. Really disappointed.,0,jakarta denpasar due take pm delay information info reason clear got refreshment read tv monitor stated delayed bad expererience bad communication service really disappoint
5,Flew from to Yogyakarta. Early morning flight boarding and take off on time. Smooth flight on a new 737. Requested exit row seat and was allocated this.,0,flew yogyakarta early morning boarding take time smooth new requested exit row seat alloc
6,Jakarta-Kuala Lumpur and Singapore-Jakarta. Check-in crews were okay. Most announcements were recorded no meal or drink. A choice of orange juice or water would be appreciated. Seat was very hard magazine onboard boring and crews weren't interested in serving passengers. The only good thing is the value of money (if you buy tickets early).,0,jakartakuala lumpur singaporejakarta checkin crews okay announcements recorded meal drink choice orange juice water would appreciated seat hard magazine onboard boring crews werent interested serving passengers good thing value money buy tickets ear
7,on new 737-900ER. Flight wasn't full. Small snack box with a bun and cake provided plus a drink. After clearing stewardess no where to be seen. Little regards to safety with mobile phones ringing in mid flight. Flight departed on time and arrived with minimal fuss. Good thing is it departs from Terminal 1 in Singapore.,0,new wasnt full small snack box bun cake provided plus drink clearing stewardess seen little regards safety mobile phones ringing mid departed time arrived minimal fuss good thing departs terminal singapor
8,Jakarta-Jogya wasn't a pleasant experience. Plane 1hour late - no info/announcements. Departure lounge overflowing with passengers from 3 late Lion flights. Plane (B737) dirty and shabby with indifferent cabin crew (no checks to see bags properly stowed seats upright for landing/take off etc). Website is good but this doesn't make up for other problems.,0,jakartajogya wasnt pleasant experience plane hour late infoannouncements departure lounge overflowing passengers late flights plane dirty shabby indifferent cabin crew checks see bags properly stowed seats upright landingtake etc website good doesnt make problem
9,to return. Didn't expect much as had poor experiences with Lion in the past but was pleasantly surprised. Check-in very orderly both flights arrived absolutely on time and the fare was very competitive indeed. No food or IFE. Everything else was no-frills - but seats are allocated and flight operates to the proper passenger terminal at  and not the awful LCCT so I'd say that Lion has the edge over the other low-cost operator on this route Air Asia.,0,return didnt expect much poor experiences past pleasantly surprised checkin orderly flights arrived absolutely time fare competitive indeed food ife everything else nofrills seats allocated operates proper passenger terminal awful lcct id say edge lowcost operator route asia
10,both flights using the new B737-900. Cabin clean bright and airy. I was impressed that food (hot meal dessert and salad - all served on a tray) + drinks were served for both flights. Pity that load factor for both legs was less than 40% and no inflight entertainment was offered at all. It's a great flying experience overall.,0,flights using new cabin clean bright airy impressed food hot meal dessert salad served tray drinks served flights pity load factor legs less inflight entertainment offered great flying experience overal
11,Singapore-Bali on new 737-900. Low fare with Good Service. Seat a bit hard Food provided is enough but not nice. Return Flight delay about 50 min. Overall still satisfied with Lion Air.,0,singaporebali new low fare good service seat bit hard food provided enough nice return delay min overall still satisfi
12,"  Denpasar to Jakarta. Lion air is notorious for late flights with no information. You will not find cheaper tickets and if you are OK with waiting at the airport indefinitely then this airline could be for you! Typically flights accrue delays as the day goes on due to ""operational reasons"" which typically are late accumulated arrivals over the day. The staff is obnoxious about the delays and have heard all complaints from passengers over the years to the point that another one is but a grain of sand on a beach. Lion air, always delayed, always disappointing on everything except the price. The number of times I promised myself to pay the premium to fly anything but lion somehow got beaten again by the stated schedule.",0,denpasar jakarta notorious late flights information find cheaper tickets ok waiting airport indefinitely airline could typically flights accrue delays day goes due operational reasons typically late accumulated arrivals day staff obnoxious delays heard complaints passengers years point another one grain sand beach always delayed always disappointing everything except price number times promised pay premium fly anything somehow got beaten stated schedul
