text,label
"Pesawat harus nya berangkat jam 5:20am di Halim, malam sebelum nya di info ganti bandara ke Soekarno Hatta lalu delay lagi hampir 2 jam. Orang jadi gampang hilang kepercayaan",0
"Sudah kedua kali penerbangan menggunakan Batik Air selalu tidak bisa melakukan web checkin. Penerbangan terdahulu di cancel, dan tidak ada pemberitahuan sebelumnya! Kualitas buruk.",0
"Super bad experience, flight jam 4 sore dari semarang kita coba check in H-1, kok ya ga bisa2 sampe paginya, tanya traveloka juga disuruh tanya ke maskapai. Maskapai kita reach jg tidak ada update, dan kita tau pesawat nya dipindah juga dari orang yang notabenenya bukan pegawai batik. Dipindahnya jadi 5 jam lebih awal, luar biasa yah yah tanpa konfirmasi dan informasi. Apakah kaya gini pelayanannya Batik Air dan Lion Group? Bukan itu aja setelah nyampe bandara dengan terburu2 karena jadwalnya lebih awal ternyata flight nya delay. See? Apalagi, pas kita naik kita dapat kursi dg kompartemen cabin yg sudah full, padahal seat kita ada di row depan. Trus barang2 kita gatau main taruh aja gatau dimana sama petugas flight nya. Ternyata tanpa informasi dan konfirmasi, koper kita dimasukin ke bagasi. Luar biasa kan pelayanan Batik Air dan Lion Group? Sekian dan cukup sampai disini aja naik maskapai Lion Group.",0
BURUK BURUK BURUK.. sy order tiket jkt - kendari utk tgl 13 oktober 2022 & sudah web check in utk flight no ID-8722 gate D5.. Boarding time 8.10 pagi.. & kami sudah tiba di gate D5 pukul 7 pagi. Tiba2 gate pindah ke D7 & announcer ttg hal tsb sama sekali tdk terdengar oleh kami & tdk di infokan secara manual oleh petugas nya.. walhasil kami tertinggal dlm hitungan detik Akhirnya tiket kami hangus & dg perdebatan yg sengit kami hanya dikembalikan 10% Berhubung kami hrs tugas kerja terpaksa kami membeli tiket baru & ternyata gate nya pun ber pindah lagi & utk kali ini kami mendengarnya karena di info manual oleh petugas.. jd di sini jelas sekalihobby nya maskapai BATIK AIR adalah berpindah2 gate shg di sana dia mendapatkan keuntungan besar dr customer yg terkena penalty & pembeian tiket baru Kejadian ini d waktu yg sama ada beberapa org lain lagi yg mengalami hal yg sama Burukkk sekali BATIK AIR.. ini pengalaman yg sangat sangat MENGECEWAKANNN !!!,0
"Checkin tidak terima label priority, kemudian harus menunggu di SoeHatta sampai 1 jam. Di Solo, walupun businessticket, nga boleh masuk business lounge. (Walaupun juga sudah Garuda Platinum) Kenape harus bayar harga business dan dikembalikan service kurang baik. Tidak pernah lagi pakai Batik. Dimane pelayan Batik Air di Soehatta?",0
Berkali kali pakai batik. Jika tiketnya connecting flight tidak bisa webcheckin. Selalu eror.. Akhirnya harus ngantri di airport👎,0
"1. Antrian u/ check in business class tidak di tata dengan benar, banyak orang dengan tiket economy antri di line u/ business. Dan yg terparah bagian u/ check in nya which harusnya professional kan ya since yg bakal line up disitu smua business class passengers. HOW COME bagasi ga dikasi label PRIORITY sampe di semarang banyak bagasi u/ eco uda kluar smua. 2. Business class Lounge yg ga kerasa ky bus class lounge, kamar mandi nya kecil bgt dan banyak mbak2 pegawe batik yg lagi ganti baju dan foto2 di kamar mandi tsb. Padahal kamar mandi itu kecil bgt dan masa itu business class lounge dijadikan 1 kamar mandi sama kamar mandi karyawannya. Dan sama receiptionist disana jg sangat tidak professional, waktu masuk cm ditunjukin tiket dan bilang nanti akan dipanggil. Kenyataanya cm teriak pelan blg flight … boarding. Ga even di tanyain a/n siapa atau ada yg anter atau gimana.  3. Dan sampe semarang bener ya saya nunggu 40menit u/ bagasi saya sampe even tamu economy itu udah sepi dan akhirnya saya complain ke bagian bagasi u/ batik dan bertanya apakah ada priority baggage u/ business, dan bilangnya ada. HOW COMEEE??? ADA kok ga ada yg bantu dan kalo emang ga ada tag priority di baggage nya harusnya mereka tau dong mana list bagasi u/ business yg harus dikeluarin dl. Abis complain baru mas nya maju tny ke tmpt org bagasi di dlm baggage lane dan itupun koper saya masi jauh dicariin dl ga ada soalnya.  WTH cukup sekali naik business batik, siapa yg mau bayar hrg business kalo di treat the same as budget airlines, even budget better if u pay for priority and WAY WAY CHEAPER.",0
Tiket boarding pass Saya tidak muncul di Layar . Malah dinyatakan Hangus . Saya Mau Uang Saya Kembalikan.,0
"Batik Memang Licik, Penerbangan Saya di percepat. Terus di Jadwalkan Ulang. Bisa Pula Ditiket Penerbangan Saya boarding pass Tidak Muncul Di Layar. malah di bilang pula hangus. Sudah Jelas Pihak Maskapai Batik Yang Salah malah uang kembali 10% . Cari KEUNTUNGAN BATIK .",0
"Air yang katanya Full Service tapi reschedule nya dibatasin sampai 72j sebelum keberangkatan, biaya administrasi 100rb ditambah selisih harga Bandingkan dengan competitor si Hijau yang Sampai 4 Jam sebelum keberangkatan kalau reschedule cuma bayar 50ribu(biaya admin) + selisih harga Overal Poor Servis tidak ada relaksasi selama pandemi bahkan kursi tengah tidak di kosongin",0
