,text,label,clean_teks
0,"masuk kabin sebelum take off dan keluar setelah landing sangat tidak terstruktur, berantakan, udah gitu penumpang berisik. nunggu bagasi sampai satu jam. sangat buruk.",0,masuk kabin take off landing struktur beranta tumpang berisik nunggu bagasi jam buruk
1,"petugas lion air memasukkan sampah ke dalam koper penumpang, dan mengobrak abrik koper penumpang, membuka dompet dan case headphone tanpa seizin pemilik koper. barang barang saya yang semula tertata rapih di dalam koper setelah saya buka di rumah semuanya berantakan.",0,tugas lion air masuk sampah koper tumpang mengobrak abrik koper tumpang buka dompet case headphone izin milik koper barang barang tata rapih koper buka rumah beranta
2,"Ngantri sejam di check in counter, pelayanannya lama, trus yg dipanggil tujuan bandara manokwari dan sorong supaya check in duluan, jd antrean saya disela sama penumpang penerbangan trsebut makin lama nunggu. pas dengar pesawat tujuan biak boarding sekali, saya lgsung kedepan nyalip 2 orang untuk check in duluan, bagasi udah masuk, lgsung lari ke gate, tp sampai gate malah udah close door, ga ada last call, ga ada nama dipanggil tiba2 close door, tiket hangus, ga bisa refund, mau resched kena 90% kata mereka udah panggil, tp yg antri dipojok ga dengar karna mereka cuma panggil dr depan dikira semua punya kuping super kali ya... kopernya bisa masuk pesawat tp orangnya ga bisa masuk pesawat",0,antri jam cek in alat hitung layan panggil tuju bandara manokwari sorong cek in duluan antre sela tumpang terbang trsebut nunggu pas dengar pesawat tuju biak boarding langsung depan nyalip orang cek in duluan bagasi masuk langsung lari gate gate close door last telepon nama panggil close door tiket hangus refund resched kena panggil antri pojok dengar panggil kuping super kali ya koper masuk pesawat orang masuk pesawat
3,"pesawat saya dari pekanbaru ke batam jam 9 pagi, rencananya ke batam buat transit ke tanjung pinang, eh malah koper kami nyasar ke jakarta gatau gimana ceritanya. Sampai ada tadi bapak2 ngamuk2 gara2 ditanya tidak dijawab oleh staff lion dan malah main tik tok. Setelah diurus, akhirnya kami sepakat agar koper kami diantar ke tanjung pinang jam 6 lewat kapal. Jalanan tanjung pinang macet pada sore, jadi kami tidak sampai tepat waktu untuk mengambil koper kami. Eh malah koper kami sudah dibawa oleh kapalnya pergi, kami sudah kabari ke pihak lions, eh malah cuma dijawab pake emoji ''🤦🏿‍♂️🤦🏿‍♂️'', untung aja ada pihak pelabuhan yang masih mau membantu. Kalo begini kasih rating 1 saja, saya tidak ikhlas.",0,pesawat pekanbaru batam jam pagi rencana batam transit tanjung pinang eh koper nyasar jakarta tau cerita ngamuk gara staff lion main tik tok urus sepakat koper antar tanjung pinang jam kapal jalan tanjung pinang macet sore ambil koper eh koper bawa kapal pergi kabar lions eh pakai emoji untung labuh bantu kasih rating ikhlas
4,"Kalau masih sayang diri, keluarga, waktu dan keselamatan anda HINDARI maskapai satu ini  Pesawat Super Air Jet rute Jakarta - Kualanamu yang kami pesan dioper 2x ke Lion.  Pemilihan kursi berbayar akhirnya juga tidak direimburse.  Yang PALING PARAH adalah menunggu bagasi hampir DUA JAM, dengan alasan tidak ada alat dan sedang dipinjam. Tanpa pemberitahuan, klarifikasi dan permintaan maaf.  Semoga teman lain terhindar dari malapetaka yang kami sekeluarga alami.",0,sayang keluarga selamat hindar maskapai pesawat super air jet rute jakarta kualanamu pesan oper x lion pilih kursi bayar direimburse parah tunggu bagasi jam alas alat pinjam pemberitahuan klarifikasi minta maaf moga teman hindar malapetaka keluarga alami
5,"Lion air emang bener bener maskapai terburuk sedunia, udah tiket gak murah, tapi pelayanannya sangat buruk",0,lion air emang bener bener maskapai buruk dunia tiket murah layan buruk
6,"Bagasi tidak sampai di merauke, tertahan di transit makassar. Tiba paling cepat keesokan harinya. Fasilitas dibuat untuk mempermudah bukan malah menyusahkan. Sangat sangat kecewa. Selain ini, pernah ditinggal pesawat di surabaya karena transit lion air dari makassar delay. Lion air sangat parah. Berharap ada maskapai lain di merauke.",0,bagasi merauke tahan transit makassar cepat esok hari fasilitas mudah susah kecewa tinggal pesawat surabaya transit lion air makassar delay lion air parah harap maskapai merauke
7,Flight dicancel tapi maskapai tidak memberikan informasi selengkapnya sehingga setelah saya reschedule dengan susah payah ke waktu / jam yg lain - ternyata Lion sudah mengganti flgiht yg dicancel dg flight maskapai lain (satu group) pada jam yg sama. Waktu saya coba mengganti kembali ke jam semula customer service (CS) mengenakan biaya walaupun representative CS yg sebelumnya tidak memberitahukan adanya penggantian flight di waktu / jam yg sama.  Lebih parahnya waktu complain ke bagian keluhan bukannya membantu malah menyalahkan cara saya bertanya kepada CS sehingga saya mendapatkan informasi yg tdk lengkap.  Benar-benar tidak profesional dan tidak ada etos utk customer service / customer satisfaction sama sekali.,0,flight dicancel maskapai informasi lengkap reschedule susah payah jam lion ganti flgiht dicancel flight maskapai group jam coba ganti jam customer servis cs kena biaya representative cs memberitahukan ganti flight jam parah keluh keluh bantu salah cs informasi lengkap benarbenar profesional etos customer servis customer satisfaction
8,"Saya pulang pake Lion Air, berangkat pagi dan sampai di bandara pesawat sudah dicancel karena dipake oleh jemaah lainnya. Alhasil nunggu pesawat yg ga jelas kapan, tiket ga jelas. Nunggu di bis dan akhirnya di tempat check in tapi berasa ditelantarkan. Setelah saya cari tahu, mereka udh tahu pesawatnya dipake jemaah lain ketika kami udh di jalan menuju bandara. Skrg mau booking hotel susah. Nunggu pesawat udh mau ga mau kaya org yg ga ada rumah/ga jelas. Seat aja gatau deh.  Lion Air mengecewakan. Dgn padatnya bandara, pesawat lain menuju Indonesia masih mengikuti jadwal pesawat. Hanya Lion Air aja yg tiba2 cancel dan ada lagi jam 5 sore besok (saya sampai di Bandara jam 5 sore 1 hari sebelum).  SANGAT TIDAK REKOMEN PAKE LION AIR UNTUK UMRAH. KALAU MAU IKUT TRAVEL, PASTIKAN BUKAN LION AIR PENERBANGANNYA.",0,pulang pakai lion air berangkat pagi bandara pesawat dicancel pakai jemaah alhasil nunggu pesawat tiket nunggu habis cek in asa telantar cari pesawat pakai jemaah jalan bandara booking hotel susah nunggu pesawat kaya orang rumahga seat tau deh lion air kecewa padat bandara pesawat indonesia ikut jadwal pesawat lion air cancel jam sore besok bandara jam sore rekomen pakai lion air umrah travel pasti lion air terbang
9,"Sangat tidak membantu. Baik call centre maupun crew. Tidak ada yang mengangkat customer 24/7. Kemudian kita email pun tidak membantu jawabannya. Dan semua kesalahan si maskapai, yang menanggung penumpang. Terlewat jadwal reschedule karena maskapai yang tidak angkat2, tetap saja penumpang yang harus bayar. Benar benar maskapai yang sangat mengecewakan. Pilih citilink dan garuda saja. Citilink dan batik murahan citilink juga..",0,bantu telepon centre crew angkat customer email bantu jawab salah si maskapai tanggung tumpang lewat jadwal reschedule maskapai angkat tumpang bayar maskapai kecewa pilih citilink garuda citilink batik murah citilink
