"title","rating","date","text","route","scope","class"
"MASKAPAI TERBURUK HANYA MERUGIKAN UANG PENUMPANG","10","Januari 2023","Air Asia adalah salah satu flight terburuk selain Lion Air, seorang ibu ibu yg menuju ke gate 15 menit sebelum keberangkatan ditolak hanya karena alasan sudah tidak bisa, padahal 5 menit sbelumnya masih banyak penumpang yg masuk. Dengan alasan ini membuat ibu ibu tsb terpaksa menghanguskan tiket dan membeli tiket yang baru. Padahal pesawat baru saja boarding dan sangat masih available untuk menaikkan penumpang yg sudah check in dan sudah mencetak boarding pass.  Sangat berbeda dengan layanan super air jet yg mengutamakan prioritas penumpang dan tidak pernah membuat penumpang rugi. Selama pintu pesawat belum ditutup dan selama pesawat 15 menit belum take off, para penumpang yg sudah check in dan mendapat boarding pass berhak masuk kedalam pesawat diprioritaskan tanpa harus rugi keuangan, hangus tiket, dan tanpa harus membeli tiket baru hanya karena masalah sepele  Air asia pesawat abal abal yang senang merugikan penumpang terutama dalam masalah tiket dan finansial, sama seperti lion air. Tak heran keduanya pernah mengalami kecelakaan yang tidak pernah dialami maskapai lain, itu juga menunjukkan ketidakprofesionalan mereka dalam bekerja dan kecerobohan mereka seenak enaknya dalam terbang. Nyawa dan uang orang dibuat main. Yang penting asal untung, mikirin diri sendiri saja. Tidak manusiawi.  Saran saya, jangan hanya tergiur harga murah. Lebih baik mahal sedikit 100-200 ribu tidak jauh bedanya asal aman, pelayanan profesional dan yang terpenting masih manusiawi, tidak merugikan uang pelanggan. Masih banyak pelayanan yang sangat etis, tidak mementingkan diri sendiri dan mengutamakan kepentingan customer, seperti super air jet, trans nusa dll. Bahkan batik air pun masih lebih baik ketimbang air asia dan lion air. Saya sangat merekomendasikan pelayanan super air jet setelah garuda, harga tidak jauh beda dari air asia tapi pelayanan sangatlah optimal dan utama, saya acungkan jempol untuk super air jet. Bahkan pernah 10 menit sebelum pesawat take off, pelanggan masih dipersilahkan masuk, dicek kembali dll. Super air jet tidak pernah merugikan pelanggan yang sudah mahal2 membeli tiketnya dan tidak pernah terjadi riwayat cacat terbang, tidak seperti air asia yang punya track record buruk trutama dalam kecelakaan. Service pun semena mena, merugikan orang","Denpasar - Jakarta","Southeast Asia","Economy"
"Berangkat dari Jakarta telat. Pulang dari Singapore pun telat","10","November 2022","Sekali2 nya nyoba AirAsia ternyata pelayanannya luar biasa buruk. Delaynya bisa berjam2 dan tidak ada kompensasi buat penumpangnya. Berangkat nya delay, pulangnya pun delay.","Jakarta - Singapore","Southeast Asia","Economy"
"Delay super lama","10","November 2022","Sangat kecewa dengan masakapai ini, meniningan saya naik maskapai yang lain. Pelayanan sangat buruk sekali","Singapore - Denpasar","Asia","Economy"
"Sipaling Cancel","10","November 2022","Udah di diperjalanan ke bandara, tiba tiba penerbangan di cancel tanpa ganti rugi, dan untuk refundnya juga lama banget cairnya","Jakarta - Pekanbaru","Domestic","Economy"
"Kini Siapapun (Tidak) Bisa Terbang","10","November 2022","Penerbangan dibatalkan maskapai (kurang lebih 2 minggu dari jadwal keberangkatan) tanpa sebab jelas. Kemudian pengembalian dana kurang dari jumlah yang sudah dibayarkan, jadi sebagian uang hangus begitu saja. Sekarang harus cari tiket pengganti lagi..","Penang - Jakarta","Southeast Asia","Economy"
"Sering mengubah jadwal penerbangan secara sepihak","10","September 2022","Saya memesan tiket dari KNO ke CGK pada tanggal 9 Oktober 2022, namun diubah oleh Airasia secara sepihak sebanyak 2 kali berturut-turut.","Medan - Jakarta","Domestic","Economy"
"Delay lebih dari 1 jam","10","Agustus 2022","Saat saya menulis ulasan ini, saya masih menunggu kedatangan pesawat airasia yang akan menerbangkan saya dr Lombok ke Jakarta. Keterlambatan sdh 30 menit dan mungkin akan delay 1jam karena pesawat belum mendarat dr KL ke LOP. Akibatnya mungkin waktu saya untuk transfer ke pesawat berikutnya akan sangat sempit. Saya tdk merekomendasikan maskapai ini.","Lombok - Jakarta","Domestic","Economy"
"Penerbangan di Masa Pandemi","40","Desember 2020","Pilot dan pramugari menggunakan sarung tangan, masker, dan face shield. Tidak ada lagi majalah di saku bangku. Tidak ada penjualan makanan, hanya untuk makanan yang dipesan saat pembelian tiket. Turun dari pesawat per 3 baris. Tidak boleh menunggu sambil berdiri.","Jakarta - Lombok","Domestic","Economy"
"Harga promo dan jadwal tepat waktu","40","Desember 2019","Harga sangat promo namun pelayanan optimal. Penerbangan pagi yang tepat waktu. Makanan di pesawat yang ok untuk sarapan. Sangat direkomendasikan tertutama harga promosinya","Surabaya - Kuala Lumpur","Southeast Asia","Economy"
"Penerbangan tepat waktu dan aman","50","Februari 2020","Setiap melakukan penerbangan, saya seringkali berharap dapat menikmati penerbangan yang aman dan dalam suasana yang nyaman pula. Hal tersebut saya dapatkan ketika terbang bersama AirAsia.  Ketepatan waktu pemberangkatan, keramahan kru darat maupun kru udara, sapaan dari Kapten pilot kepada para penumpang, sepertinya sudah menjadi tradisi yang dilakukan oleh AirAsia.  Semoga terus dapat dipertahankan seluruh kualitas layanannya. Mantap dan keren ...","Denpasar - Bandung","Southeast Asia","Economy"
"BAJO Trip","40","Maret 2020","Layanan maskapai yg mantap..sy lakoni penerbangan dg maskapai ke labuan bajo krn rekomendasi kawan dan sy pesan melalui aplikasi.  Anda bs memilih beragam opsi dlm aplikasinya..spt memilih seat yg nyaman, tambahan meal bahkan e-boarding..shg sangat dinyamankan.","Denpasar - Labuan Bajo","Southeast Asia","Economy"
"Memang Benar Maskapai LCC Terbaik","40","September 2019","AirAsia memang maskapai LCC terbaik menurut saya sampai saat ini. Proses check in yang cepat dan mudah, awak kabin yang ramah, makanan yang luar biasa. AirAsia bisa menjadi solusi bagi anda orang Indonesia yang ingin memakai maskapai LCC tapi dengan pelayanan baik.","Semarang - Jakarta","Domestic","Economy"
"air asia kemudahan terbang dengan compatible price","50","Oktober 2019","penerbangan dengan layanan keramahan yang cukup dan kenyamanan yang baik membuat penerbangan menjadi easy going and ready for journey to malay","Semarang - Kuala Lumpur","Southeast Asia","Economy"
"Proses Reschedule Yang Mudah","40","Februari 2020","Pelayanan proses reschedule yang mudah dan bisa online, offline pun petugas pelayanan membantu dengan ramah dan cepat","Jakarta - Surabaya","Domestic","Economy"
"Selalu promosi","30","Januari 2020","Maskapai satu ini memang selalu punya promosi terkait tiket, hotel dan lainnya. Pengalaman beberapa kali ke Perth dengan maskapai ini cukup menikmati pre-booked meal dan kadang tepat waktu tiba di tujuan namun memang bagasi dan seat harus beli dulu sebab harganya bisa naik bila belinya mendekat hari keberangkatan yang direncanakan. Tidak ada entertainment jadi siap-siap tidur saja atau baca buku.","Yogyakarta Region - Perth","International","Economy"
"Jakarta-Kuala Lumpur","40","November 2019","Pada bulan november lalu saya, suami dan anak kami yg berusia 3th melakukan perjalanan ke Malaysia. Ini perjalanan pertama kami menggunakan AIR ASIA, Karena tujuan kami ke Malaysia jadi pesawat yg kami gunakan adalah AIR ASIA Malaysia. Dengan kode penerbangannya AK, bukan QZ yg merupakan AIR ASIA Indonesia. Interior pesawat bagus, bersih, terawat dan tampak baru. Cukup nyaman bt kami sekeluarga, dan makanan yang disajikan pun sangat lezat. Bahkan jauh lebih lezat dari inflight meal Garuda yg sudah beberapa kali kami cicipi.Pelayanan pun cukup bagus, ramah dengan harga yg terjangkau. Kalau AIR ASIA Indonesia kami tidak tau apakah juga sebagus ini?? Next trip mungkin kami akan coba","Jakarta - Kuala Lumpur","Southeast Asia","Economy"
"Low Budget, Decent Service","30"," ","Kali ini saya terbang dengan pesawat Airbus A320-200 dengan inisial registrasi PK-AXF. Waktu boarding hanya terlambat beberapa menit dari jadwal namun setidaknya disediakan fasilitas garbarata.  Di dalam kabin pesawat ""dihiasi"" aneka iklan. Mulai dari kompartemen bagasi kabin yang ditempeli stiker iklan obat gosok, madu, dan minyak angin berwarna merah-kuning-hijau dengan bintang iklan seorang penyanyi wanita lokal yang bergaya kebarat-baratan serta tidak fasih berbahasa Indonesia dengan baik dan benar. Ada pula stiker iklan kosmetik di penutup tray makan (saya sempat mengira stiker tersebut sebagai layar in-flight entertainment) dengan bintang iklan wanita berbusana nuansa agama tertentu.  Sepanjang penerbangan tidak ada insiden yang mengganggu keselamatan. Pendingin udara bekerja dengan baik namun tidak ada in-flight entertainment. Seperti halnya maskapai low cost carrier (LCC) lainnya ada bau mi instan yang cukup menggoda. Sepertinya aroma tersebut memang merupakan ciri khas LCC.  Pendaratan berjalan lancar dan pesawat tiba lebih cepat dari jadwal. Selanjutnya, pada saat turun pesawat disediakan fasilitas garbarata sehingga memudahkan penumpang.  Kesimpulannya, Air Asia memang maskapai penerbangan berbiaya hemat dengan pelayanan sederhana yang cukup baik.","Jakarta - Surabaya","Domestic","Economy"
"Pengalaman pertama terbang dengan Air Asia","50","November 2019","Pertamanya seneng bukan main mau naik pesawat :D haha waktu itu memang niat mau ke Bali karena ada pertandingan Final Liga 2 - 2019 antara Persita vs Persik. secara keseluruhan pelayanannya untuk pertama kalinya sangat puas :D","Jakarta - Denpasar","Asia","Economy"
"Pengalaman Pertama","40","Agustus 2019","Pertama kali mudik dengan maskapai Airasia, rasanya puas... Fasilitas bagus dengan harga lebih murah daripada maskapai yang biasanya saya gunakan... Untuk para perantau seperti saya, yang harus sering bolak balik antara tempat tinggal dengan tempat tugas, harga tiket yang lebih murah tetapi tetap memberikan fasilitas yang bagus, tentunya menjadi pilihan yang sangat menarik... Hal menyenangkan lainnya adalah jadwal terbang yang sangat sesuai dengan jam kerja saya, sehingga tidak perlu cuti atau memotong jam kerja untuk pulang atau kembali lagi ke tempat tugas...","Lombok - Jakarta","Domestic","Economy"
"Terbang bersama Airasia","40","Oktober 2019","Secara keseluruhan terbang bersama Airasia Indonesia terasa cukup nyaman walaupun ada delay di Penang air port, Crew sangat ramah dan membantu","Jakarta - Penang","Southeast Asia","Economy"
"Pengalaman terbang ke-28 dengan Air Asia :)","30","November 2018","Kali ini kami kembali mengulas pengalaman penerbangan kami bersama dengan Indonesia AirAsia yang ke-28 kalinya. No penerbangan XT 7624 SUB-DPS 16 Agt 2018 :)  Cukup lama baru sempat kami ulas dikarenakan kesibukan kami :) Penerbangan dalam rangka liburan rutin kami di Bali. Seperti biasa, penerbangannya tepat waktu, pelayanan cukup baik. Tingkat kepuasan kami cukup :)","Surabaya - Denpasar","Asia","Economy"
"Airasia","50"," ","Penerbangan yang sangat menakjubkan dengan tarif yang murah dan fasilitas yang bagus .Saya selalu menggunakan maskapai air asia karena sangat save di kantong keuangan saya jika berlibur.Dan saya selalu memesan untuk hot seat dengan letak kursi di depan dengan sarung kursi berwarna merah serta makanan yang lezat di dalam nya","Yogyakarta Region - Singapore","Southeast Asia","Economy"
"Delay 40 menit. Bagasi Lambat Keluar","20"," ","Penerbangan terlambat berangkat dikarenakan pesawat terlambat tiba di kuala lumpur. Alasan klasik. Tiba di Kualanamu Medan, bagasi saya yg berlabel Xpress Baggage yg seharusnya keluar terlebih dahulu dibandingkan bagasi regular lainnya ternyata keluar belakangan. Selaku penumpang Premium Flex, saya cukup kecewa, terlebih dengan penerbangan yg sudah terlambat berangkat.","Kuala Lumpur - Medan","Southeast Asia","Economy"
"Good service","40","Juli 2019","Kami bertiga berangkat dari CGK menuju KUL dengan menggunakan Air Asia dengan nomor penerbangan AK 381. Waktu keberangkatan tepat waktu dan waktu ketibaan lebih cepat sekitar 30-40 menit. Pelayanan pramugari dan pramugara yang bertugas sangat baik.","Jakarta - Kuala Lumpur","Southeast Asia","Economy"
"The Best Budget Airlines","40","Juli 2019","Sebagai Low Cost Carrier Airasia memang terbaik. dengan harga terjangkau, pelayanan yang ramah, dan adanya promo harga murah. Didalam pesawat penumpang dapat memesan berbagai jenis makanan dan minuman dengan harga terjangkau juga beberapa merchandise. Bagasi pun aman dikarenakan pada saat itu dikarenakan lupa saya meletakan Handphone didalam bagasi dan ternyata tidak hilang.","Palembang - Kuala Lumpur","Southeast Asia","Economy"
"Cheap Price but Great Quality","50","September 2019","Selama beberapa kali saya terbang menggunakan Air Asia, tidak pernah delay, malah pernah lebih cepat haha. Harga murah dan saya senang. Namun konter check innya sangat sedikit yang dibuka, dari beberapa counter, yang dibuka cuma dua, jadi pas check in, nunggunya rada lama. But it's okay.","Jakarta - Semarang","Domestic","Economy"
"Promo cheap price","40"," ","Airasia selalu menyediakan promo harga murah kali ini saya memanfaatkan harga promo murah tadi dari jogyakarta ke osaka pulang pergi dengan harga Rp.3,5 jt. Akhirnya kami dapat kesempatan wisata ke negara sakura, terima kasih airasia","Yogyakarta Region - Osaka","North Asia","Economy"
"BAGUS HANYA DELAY","40"," ","Penerbangannya nyaman dan enak, mungkin karna ini first flight makanya delay berkepanjangan. Cuma gak sesuai ekspektasi aja. Kirain first flight bakal dapat souvenir atau acara seremonial lainnya. But OK","Jakarta - Lombok","Domestic","Economy"
"Kru Pesawat sangat sigap","40","Juli 2019","Perjalanan terasa aman dan nyaman, saya akan terbang lagi dengan air asia tahun depan. Pelayanan di bandara dan di pesawat menyenangkan, in flight meal juga lezat dengan harga terjangkau lagi.","Hanoi - Penang","Southeast Asia","Economy"
"Nyaman dan Luas","50","Juli 2019","Ini kedua kalinya berwisata memakai maskapai Airasia dan ternyata sudah ada perubahan sedikit yaitu pelayanan yang sangat bagus serta kursi nya mempunyai jarak antara lutut dengan kursi depan lumayan luas.","Jakarta - Denpasar","Asia","Economy"
"Service terbaik !!!","50","Juli 2019","Pengalaman saya sendiri, saya membawa monopod di dalam beg galas belakang. Jadi, sampai nya saya di kaunter imegresen, saya terkejut sebab monopod tidak dibenarkan bawa ke atas flight. So, pihak imegresen menyuruh saya kembali ke kaunter AirAsia di Airport Semarang ini dan masalah saya selesai dlm 10 minit sahaja. Petugas di kaunter ambil kembali bagasi saya yang sudah check in tadi, dan saya memasukkan monopod itu. Ini pengalaman pertama saya di Airport Semarang, Indonesia. Semoga komen ini dapat membantu para wisata.","Semarang - Kuala Lumpur","Southeast Asia","Economy"
"Maskapai murah namun tidak murahan","40","Oktober 2018","untuk kelas ekonomi, AirAsia bisa di jagokan. tidak ada delay,perjalanan aman, dan pramugari yang sangat membantu","Jakarta - Singapore","Southeast Asia","Economy"
"Walaupun delay, tapi AA emang harganya cukup oke dibanding maskapai lain","40","Juni 2019","untuk tiket pesawat yang belinya terbilang dadakan, Air asia sebenernya cukup fair untuk kasih harga. Bagasi domestik diberi batas 15 kg, kalau kamu berencana membawa lebih mending beli pre booked baggage. Karena untuk penerbangan sub - cgk aja bisa dikenakan charge 170.000 rupiah per kilo untuk kelebihan bagasi yang dibeli di counter langsung. Informasi delay penerbangan kemaren diberitahukan 6 jam sebelum penerbangan","Surabaya - Jakarta","Domestic","Economy"
"Service and Services","30","Juli 2019","sebagai salah satu LCC< saya percaya Airasia selalu akan menjaga kualita dan layanan nya. akan tetapi, kami juga mengetahu bahwa pesawat serta fasilitas yang digunakan tidak disertai dengan kualitas bintang 5. keamanan sangat tidak diragukan lagi. akan tetapi pelayanan pramugari dan pramugara agak nya perlu ditingkatkan. keramahan dan yang terutama adalah langkah kaki saat jalan menelusuri pesawat. lantai yang tipis membuat kami yang duduk serasa ikut bergoyang manakala ada pramugari atau pramugara yang lewat.  selain itu keramahan pramugari dan pramugara TIDAK KAMI DAPATKAN seperti dalam VLOG-VLOG yang dibuat youtubers. bergerak dan berjalan sedikit, langsung muncul pertanyaan dan tatapan mencurigakan. APAKAH kalian hanya akan ramah dengan VLOGER? padahal belum tentu mereka secara reguler naik pesawat anda.  sekian ulasan saya.","Jakarta - Singapore","Southeast Asia","Economy"
"Trip Ke Bangkok","40","Februari 2019","Perjalanan dari DMK-CGK kali ini menggunakan Airasia Indonesia QZ-257, perjalanan ini adalah perjalanan yang sangat-sangat nyaman, dimana mengalami delay selama 30 menit karena ada penumpang yang tidak hadir namun bagasinya masuk dalam pesawat, tidak masalah untuk itu, karena biarpun di Bandara DMK delay, namun saya nyampai jakarta ON TIME lebih awal 15 menit dari jadwal yang diperkirakan, dan kemudian selama pernerbangan dengan ketinggian 38.000 Feet dengan durasi penerbangan hampir 3jam saya tidak merasakan adanya Turbulence sama sekali, muuullluuuussss banget dari take off sampai landing, Top Markotop Pisan Pokoknya....","Bangkok - Jakarta","Southeast Asia","Economy"
"Terbang dari Osaka Jepang menuju KLIA2 lanjut Jakarta","50"," ","Memilih maskapai ini dalam penerbangan dari Osaka Jepang menuju KLIA2 hingga ke Jakarta. Transit Taipei. Merasa tidak capek karena suasana dalam pesawat sangat menyenangkan. Harga juga murah dibandingkan maskapai lain saat itu.","Kuala Lumpur - Jakarta","Southeast Asia","Economy"
"LCC dengan kualitas terburuk bagi saya","20","Juni 2019","kali ini saya terpaksa menggunakan jasa penerbangan air asia. saya sangat kecewa dan rasanya ini terakhir kalinya saya akan terbang bersama air asia. pertama, ketika berangkat dari CGK, ada keterlambatan sekitar 45 menit dari waktu yg tertera di boarding pass dan TIDAK ADA PEMBERITAHUAN, yang pastinya menyebabkan keterlambatan waktu arrival saya di DPS. kedua, dari ruang tunggu ke pesawat, sangat ribet, kami dibuat antri berdiri lama untuk keluar dari ruang tunggu, naik shuttle yg cukup jauh di apron. ketiga, dari ruang tunggu menuju pesawat, tidak ada petugas yg memandu sehingga beberapa penumpang termasuk saya, hampir salah naik ke pesawat karena ada jalan bercabang dan TIDAK ADA PETUGAS YG MEMANDU. keempat, saat baggage claim sampai di DPS, koper saya penyok, koper sekeras itu sampai penyok apalagi di bagian edge, dimana bagian paling keras pd koper. kelima, saat pulang dari DPS ke CGK, lagi2 pesawat DELAY sekitar 1 jam dari keberangkatan normal. terminal dipindahkan cukup jauh dari pemberitahuan awal dan diberitahukan mendadak, dan lagi2 kami dibuat mengantri lama sambil berdiri untuk keluar dari ruang tunggu ke pesawat. keenam, lagi2 saat bagagge claim di CGK, terdapat kerusakan lagi di koper saya, merk penutup didepan koper seperti dicongkel hingga copot. asli. i will never ever let this thumb choose that airline anymore. mau liburan aja jadi bete duluan.","Jakarta - Denpasar","Asia","Economy"
"Now Everyone Can Fly","50"," ","Maskapai airasia merupakan maskapai lowcost, untuk meskapai ini dalam pelayanan cukup baik sebagai maskapai class ekonomi, maskapai ini pun sebagai pilihan utama dikarna tarif yang lebih murah dibanding maskapai lowcost lainnya, menjadikan motto now everyone can fly sangat sesuai disandingkan dengan airasia","Padang - Kuala Lumpur","Southeast Asia","Economy"
"Harga murah, aman dan cukup nyaman","40","Juli 2018","Walau kursi serasa naik bus, sempit dan kurang nyaman, namun untuk harga yang relatif murah, cukup memuaskan, makanan juga tidak disediakan namun bersih dan aman.","Surabaya - Medan","Domestic","Economy"
"Airasia Ok !","50"," ","Layanan pemesanan lewat online Airasia sangat mudah , tiap saya pesan tidak perlu ribet mudah untuk di fahami , tepat waktu dan pelayanannya baik , harga tiket tidak seperti maskapai lain yang mencekik , beda harga 600 rb - 800 rb lebih mahal , buat apa cari yg mahal kalau layanan sama. Airasia Ok 👍","Jakarta - Denpasar","Asia","Economy"
"Good","50"," ","Terbang pakai pesawat airasia, jadwalnya tepat waktu, masih dapat gratis bagasi 15 kg sehingga tidak perlu membeli bagasi tambahan karena barang yang dibawa juga sedikit. Pelayanannya baik, mulai dari check in hingga tiba di Bali.","Bandung - Denpasar","Asia","Economy"
"Sangat nyaman","40","Juni 2019","Pesawat yang sangat nyaman dan pelayanannya bagus, makanan yang dijual di kabin juga enak. AC di dalam pesawat juga dingin dan ada layanan wifi Rokki.","Palembang - Kuala Lumpur","Southeast Asia","Economy"
"WOW experience dengan harga yang murah","50","April 2019","Budget airlines / maskapai yang murah tapi ga murahan. Apalagi hanya penerbangan sebentar, hanya dari Jakarta ke Singapore jadi emang ga perlu neko neko sih menurut pengalaman pribadi saya. Dapet makanan juga, memang tambah biaya tapi worth it lah. :)","Jakarta - Singapore","Southeast Asia","Economy"
"Nyaman dan murah","50","Maret 2019","harga yang bersaing, flight yg ontime dan pelayanan yg baik. dan dengan adanya flight airasia, sy bisa berpergian dengan lebih murah , walaupun ada transit , tapi masih lebih murah dibandingan menggunakan penerbangan pesawat domestic","Jakarta - Medan","Domestic","Economy"
