"title","rating","date","text","route","scope","class"
"Kecewa dgn layanan","10","April 2023","Sangat kecewa utk kemunduran jam kbrgktan maskapai ini, sgt buruk, awal pesen tiket 12.45 undur jdi 13.45 undur lagi jam 15.00 dan mundurrrrrrrrrr lagi jam 16.45, Burukkkkk sekaliiii kecewaaaaa berat sama maskapai citilink ini, waktu itu sgtt berhargaaaa, kasian org tua saya 12 jam mnngu di bandara, brgkt udah dri jam 7 pagi, kecewaaaaaaaa.","Medan - Jakarta","Domestic","Economy"
"Terbang dengan bayi","30","Maret 2023","Kalau review kursi luas dll sudah banyak yg review. Untuk pelayanan bagi yg traveling membawa bayi kurang baik. Untuk extra safety belt tidak di bantu untuk menggunakan nya. Hanya di berikan saja tanpa di pasangkan. Sedangkan biaya untuk kursi bayi yang diberikan cukup mahal di bandingkan kompetitor yg lain.","Jakarta - Padang","Domestic","Economy"
"Kurang Professional","30","Maret 2023","Seharusnya saya kemarin tgl 06/03/23 menggunakan QG-145 jurusan HLP krn dekat rumah, tiba2 diubah dgn alasan operasional (selalu ini aja andalan) ke CGK QG-793. Selain jadwalnya mundur (dari 16;20 QG-145 ke 16;45 QG-793), juga delay (16;45 ke 16:55 ke 17:05), juga menjadi sangat jauh (hrsnya HLP jadi ke CGK), serta ditambahin drama 'salah parkir'. Baru urusan penggabungan ke QG-793 saja (dgn alasan apapun) sdh bikin susah dan berakibat keluar biaya transport lebih mahal utk pulang ke Cibubur. Belum lagi kebiasaan delay (dgn alasan apapun). Setelah landing dan parkir di T3 dan mesin dimatikan, penumpang menunggu 15 menit tanpa AC, belalai garbarata tak kunjung diconnect. Anak kecil udh banyak yg nangis kegerahan. Setelah lama duduk dalam kegerahan, ada pengumuman pesawat akan di pushback, pindah ke garbarata sebelah. Setelah itu baru bisa unloading penumpang. Sampai di baggage claim juga menunggu lama. Tulisan ini sdh saya persingkat. Sebenernya berasa cukup lama, bikin capek dan membosankan sejak delay di Semarang dan ""salah parkir"" di CGK. Benar-benar tidak memberi kesan baik.","Semarang - Jakarta","Domestic","Economy"
"Percuma check in online","20","Februari 2023","Percuma melalukan check in online karena pada akhirnya dipindahkan juga saat drop bagasi. Tidak profesional","Manado - Jakarta","Domestic","Economy"
"Stupidity at its finest","10","Januari 2023","Cancelled flight, input data whatsapp salah, input data credit card salah, pengembalian dana berbelit, harus minta ke pihak ketiga. Yang salah Citilink, di lempar ke pihak lain dan tidak mau bertanggung jawab. Poor customer service, langsung menutup tlp padahal pembicaraan belum selesai. Really2 hard to talk to manager. Rober, uang 8 juta aja digandolin","Surabaya - Singapore","Southeast Asia","Economy"
"PRAMUGARI TIDAK RAMAH ! MALAH MEMASANG MATA YG SINIS.. membuat saya pindah2 tempat dg kata yang sangat JUTEK !","10","Januari 2023","Tolong di training lagi itu pramugarinya atas nama VIVI LUMBAN Merasa sok cantik tapi pelayanan BURUK ! !","Denpasar - Surabaya","Southeast Asia","Economy"
"WORST SERVICE EVER","10","Oktober 2022","Seumur hidup cmn pernah beli tiket citilink 2x dan 2” nya kecewa bgt. Customer service rude bgt bgt sama skali gak membantu yang ada malah di persulit. Trip kali ini saya pilih citilink hanya karna jam terbang nya paling pas sama jadwal saya ambil lab di salah satu hospital disana jadi bukan karna saya willingly mau naik citilink. Tapi memang jam nya yang paling pas aja. Biasanya saya selalu naik commercial plane yang lain, dan tidak pernah ada masalah. Berhubung ini medical trip, saya ga bisa pastiin kapan saya bisa pulang, karna tergantung dengan hasil lab saya nanti nya. Dan ini menjadi masalah buat pihak citilink. Di bilang saya tdk bs terbang krn tidak ada tiket pulang, saya sdh jelaskan smua, termasuk kasih lihat hasil lab bulan sebelum nya (fyi saya rutin setiap bulan ke kuala lumpur) beserta medical bill. Tapi tetap tidak di bolehkan. Lalu alhir nya mereka bilang “kali ini kami loloskan” tapi gak sampai semenit kemudian, teman nya si cust service yang ngmg sama saya ini dtg, dan blg “gak bisa. Pintu pesawat sdh d tutup” lalu saya blg yasudah pindahkan saya ke flight selanjutnya saja. Dan di blg tidak bisa. Lalu saya tanya lagi apa saya bisa refund? Di blg tidak bisa. ???? Ketika saya tanya “dimana sih saya bs liat informasi ini? Darimana saya tau kalau saya harus ada tiket pulang?” Di jawab sama dia “ya harus nya cek sndiri di web imigrasi” ???????? R u serious? This is not my first time flying. And frankly gue ga pernah cek website imigrasi sm skali krn ga prnh dpt airline begini. Bahkan gue udh blg gw willing buat bayar fine di imigrasi waktu sampai disana klo emg gue gabole masuk di negara mereka. Dan ini cm salah 1 pengalaman gw sm citilink. Yang kejadian sebelum ini, lebih parah lagi. Gue sampe harus beli tiket 3x dan smua tidak bs d refund. Pdhl bkn salah gue. Buat kalian yang mau traveling mending gausa pake citilink deh. Worst airline service ever","Jakarta - Kuala Lumpur","Southeast Asia","Economy"
"Great flight","50","September 2022","Penerbangan agak delay saat itu ,well tapi saat masuk pesawat di sambut oleh pramugari yang sangat ramah,sangat membantu ,apalagi saat itu aku beda kursi dengan suami ,bersyukur sekali bertemu pramugari yang bernama Claudia / semoga aku tidak salah spell namanya hehe 🤗🙏 Aku langsung di info boleh tukar kursi , alhamdulillah saat itu ada kursi kosong akhirnya bisa tidur nyenyak 🤭 Terima kasih atas pelayanan nya yg amazing 🙏","Jakarta - Denpasar","Asia","Economy"
"Mr","10","Juni 2022","Jelek banget pelayanannya, sangat sangat kecewa dengan kelakuan kru nya, mulai dari kru check in counter yg saya ucapkan twrima kasih dan dia diam saja. Di tengah perjalanan ke gate hand carry saya di blg tidak boleh, padahal di depan blg boleh. Sampe di foto segala dan akhirnya boleh. Di gate masuk pesawat di komplen lagi? Dan hebatnya semua yg melayani TIDAK ADA KATA MAAF YG SOPAN DAN BLG TERIMA KASIH, INIKAH PELAYANAN CITY LINK? YG KATANYA BAGUS HOSPITALITY NYA?","Jakarta - Makassar","Domestic","Economy"
"Always delay","10","Juni 2022","Saya sudah 4 kali naik citilink dan hampir semuanya delay, yang paling terakhir ini yang paling kacau, pemberitahuan 2 kali keterlambatan (delay).  Selah delay 2 kali tersebut, saya datang check ke ruang tunggu, katanya delay setengah jam.  Setelah delay 30 mnt tersebut, ada anouncement keberangkatan pesawat citilink saya, dan ternyata anouncementnya palsu, alias pesawatnya belum mendarat 🤦🤦🤦. Worst experience","Medan - Surabaya","Domestic","Economy"
