title,rating,date,text,route,scope,class
Bagasi terlalu lama,10,Maret 2023,"masuk kabin sebelum take off dan keluar setelah landing sangat tidak terstruktur, berantakan, udah gitu penumpang berisik. nunggu bagasi sampai satu jam. sangat buruk.",Jakarta - Pontianak,Domestic,Economy
melanggar privasi penumpang dan memasukan sampah ke dalam koper penumpang,10,Januari 2023,"petugas lion air memasukkan sampah ke dalam koper penumpang, dan mengobrak abrik koper penumpang, membuka dompet dan case headphone tanpa seizin pemilik koper. barang barang saya yang semula tertata rapih di dalam koper setelah saya buka di rumah semuanya berantakan.",Yogyakarta Region - Banjarmasin,Domestic,Economy
Pelayanan yang buruk,10,Januari 2023,"Ngantri sejam di check in counter, pelayanannya lama, trus yg dipanggil tujuan bandara manokwari dan sorong supaya check in duluan, jd antrean saya disela sama penumpang penerbangan trsebut makin lama nunggu. pas dengar pesawat tujuan biak boarding sekali, saya lgsung kedepan nyalip 2 orang untuk check in duluan, bagasi udah masuk, lgsung lari ke gate, tp sampai gate malah udah close door, ga ada last call, ga ada nama dipanggil tiba2 close door, tiket hangus, ga bisa refund, mau resched kena 90% kata mereka udah panggil, tp yg antri dipojok ga dengar karna mereka cuma panggil dr depan dikira semua punya kuping super kali ya... kopernya bisa masuk pesawat tp orangnya ga bisa masuk pesawat",Makassar - Biak,Domestic,Economy
Pelayanan pesawat buruk,30,Desember 2022,"Saya dari Surabaya pergi ke Qatar, awalnya ingin nonton piala dunia. Saya naik pesawat Lion Air untuk menonton final piala dunia Argentina vs prancis. Semua berjalan lancar tetapi sesaat di bandara ternyata penerbangannya malah didelay 2 kali, di bndra kurang lebih disn 7 jm. Di pesawatnya ok cuma kurang bersih aj tapi pelayanannya kurang bagus. Tapi landingnya ok ok aj. For this price worth it sih.",Surabaya - Doha,International,Economy
SANGAT TIDAK BERTANGGUNG JAWAB,10,Desember 2022,"pesawat saya dari pekanbaru ke batam jam 9 pagi, rencananya ke batam buat transit ke tanjung pinang, eh malah koper kami nyasar ke jakarta gatau gimana ceritanya. Sampai ada tadi bapak2 ngamuk2 gara2 ditanya tidak dijawab oleh staff lion dan malah main tik tok. Setelah diurus, akhirnya kami sepakat agar koper kami diantar ke tanjung pinang jam 6 lewat kapal. Jalanan tanjung pinang macet pada sore, jadi kami tidak sampai tepat waktu untuk mengambil koper kami. Eh malah koper kami sudah dibawa oleh kapalnya pergi, kami sudah kabari ke pihak lions, eh malah cuma dijawab pake emoji ''🤦🏿‍♂️🤦🏿‍♂️'', untung aja ada pihak pelabuhan yang masih mau membantu. Kalo begini kasih rating 1 saja, saya tidak ikhlas.",Pekanbaru - Batam,Domestic,Economy
Sistem nya kurang baik,30,Nov-22,"Reschedule waktu penerbangan potongan besar dan di tiket baru fasilitas bagasi tidak ada. Udah rugi potongan maskapai, schedule baru malah delay juga, sblumnya d infokan delay 1 jam, udh 70 mnit masih blum brngkat.",Padang - Jakarta,Domestic,Economy
TERBURUK,10,Nov-22,"Kalau masih sayang diri, keluarga, waktu dan keselamatan anda HINDARI maskapai satu ini  Pesawat Super Air Jet rute Jakarta - Kualanamu yang kami pesan dioper 2x ke Lion.  Pemilihan kursi berbayar akhirnya juga tidak direimburse.  Yang PALING PARAH adalah menunggu bagasi hampir DUA JAM, dengan alasan tidak ada alat dan sedang dipinjam. Tanpa pemberitahuan, klarifikasi dan permintaan maaf.  Semoga teman lain terhindar dari malapetaka yang kami sekeluarga alami.",Jakarta - Medan,Domestic,Economy
Very Bad,10,Oktober 2022,"Lion air emang bener bener maskapai terburuk sedunia, udah tiket gak murah, tapi pelayanannya sangat buruk",Jakarta - Jambi,Domestic,Economy
"Bagasi Tidak Sampai Sesuai Kedatangan, Ditinggal Pesawat Karena Lion Air Delay di Transit",10,Sep-22,"Bagasi tidak sampai di merauke, tertahan di transit makassar. Tiba paling cepat keesokan harinya. Fasilitas dibuat untuk mempermudah bukan malah menyusahkan. Sangat sangat kecewa. Selain ini, pernah ditinggal pesawat di surabaya karena transit lion air dari makassar delay. Lion air sangat parah. Berharap ada maskapai lain di merauke.",Denpasar - Merauke,Southeast Asia,Economy
Everything about it is the WORST!,10,Juni 2022,Flight dicancel tapi maskapai tidak memberikan informasi selengkapnya sehingga setelah saya reschedule dengan susah payah ke waktu / jam yg lain - ternyata Lion sudah mengganti flgiht yg dicancel dg flight maskapai lain (satu group) pada jam yg sama. Waktu saya coba mengganti kembali ke jam semula customer service (CS) mengenakan biaya walaupun representative CS yg sebelumnya tidak memberitahukan adanya penggantian flight di waktu / jam yg sama.  Lebih parahnya waktu complain ke bagian keluhan bukannya membantu malah menyalahkan cara saya bertanya kepada CS sehingga saya mendapatkan informasi yg tdk lengkap.  Benar-benar tidak profesional dan tidak ada etos utk customer service / customer satisfaction sama sekali.,Semarang - Jakarta,Domestic,Economy
Never use this for umrah,10,Mei 2022,"Saya pulang pake Lion Air, berangkat pagi dan sampai di bandara pesawat sudah dicancel karena dipake oleh jemaah lainnya. Alhasil nunggu pesawat yg ga jelas kapan, tiket ga jelas. Nunggu di bis dan akhirnya di tempat check in tapi berasa ditelantarkan. Setelah saya cari tahu, mereka udh tahu pesawatnya dipake jemaah lain ketika kami udh di jalan menuju bandara. Skrg mau booking hotel susah. Nunggu pesawat udh mau ga mau kaya org yg ga ada rumah/ga jelas. Seat aja gatau deh.  Lion Air mengecewakan. Dgn padatnya bandara, pesawat lain menuju Indonesia masih mengikuti jadwal pesawat. Hanya Lion Air aja yg tiba2 cancel dan ada lagi jam 5 sore besok (saya sampai di Bandara jam 5 sore 1 hari sebelum).  SANGAT TIDAK REKOMEN PAKE LION AIR UNTUK UMRAH. KALAU MAU IKUT TRAVEL, PASTIKAN BUKAN LION AIR PENERBANGANNYA.",Jeddah - Jakarta,International,Economy
Tidak profesional. Baik call centre maupun crew ang melayani call centre,10,Mei 2022,"Sangat tidak membantu. Baik call centre maupun crew. Tidak ada yang mengangkat customer 24/7. Kemudian kita email pun tidak membantu jawabannya. Dan semua kesalahan si maskapai, yang menanggung penumpang. Terlewat jadwal reschedule karena maskapai yang tidak angkat2, tetap saja penumpang yang harus bayar. Benar benar maskapai yang sangat mengecewakan. Pilih citilink dan garuda saja. Citilink dan batik murahan citilink juga..",Palu - Jakarta,Domestic,Economy
Tidak ada final call dari counter,10,Apr-22,Staf counter bandara soekarno hatta kurang professional di counter saya mengantri untuk penukaran tiket dan bagasi padahal sudah ada 2 orang tetapi tidak ada info final call untuk di bandara lain pada saat mengantri dan pesawat akan berangkat 30 menit sebelum jadwal berangkat pasti ada panggilan untuk final call atau pun priority check in untuk yang masih terjebak antrian tetapi ini tidak ada dan mengecewakan,Jakarta - Denpasar,Asia,Economy
BAGASI RUSAK PARAH,10,Maret 2022,"BAGASI RUSAK Parah!!!, reschedule jam penerbangan seenak jidat. Roda Koper Lepas, Body koper Berlubang parah. Gak tau gmn management memperlakukan koper bagasi, yg jelas koper bagasi kembali dalam keadaan RUSAK PARAH, Roda hilang 1, Body Koper HANCUR!!!  Lion Air as always hancur mengecewakan, kalau bukan krn jam penerbangan, sy tdk akan memilih maskapai ini. semoga kedepan nya menjadi lebih baik",Denpasar - Surabaya,Southeast Asia,Economy
The Worst ! Not recommended!,10,Maret 2022,Klo bukan karena terpaksa karena tidak ada pilihan di hari yang sama. Saya 100% tidak akan memilih Lion Air. - Papan Board Check In tidak Update - Counter sedikit tapi penumpang Banyak alhasil antrian bisa 2 jam dan kadang di serobot sama penumpang telat. Jadi akhirnya beruntun telat nya - Pelayanan tidak ramah - Harga standar tapi low quality - Costumer Service tidak membantu minta reschedule flight bilang penuh. Terpaksa beli sendiri di Traveloka. Ga usah aja ada sekalian costumer service. Ga Guna!  Antrian check in dan antrian Costumer service karena keterlambatan check in karena terlalu panjangnya antrian dan jumlah counter yg tidak sesuai dengan penumpang terlampir.,Jakarta - Pekanbaru,Domestic,Economy
Seenaknya reschedule,10,Februari 2022,Seenaknya reschedule. Jam 12.20 jadi 07.00 sampe jakarta jam 08.xx transit sampe jam 15.30 gila bgt ni maskapai,Semarang - Medan,Domestic,Economy
