,publishedAt,authorDisplayName,textDisplay,likeCount,Label
0,2019-05-01T14:00:28Z,r3driver shadow,"Jadi mengenang....dulu pertama kali naik pesawat karena dapat beasiswa kuliah di Inggris (Newcastle), deg-degan secara ini naik pesawat pertama kali plus ada transitnya pulak di Dubai...datang ke Soetta dari Salatiga naik kereta api turun di Gambir, deg-degannya minta ampun..naik damri ke Soetta turun di terminal 2D...cek in paspor masih kosong kecuali bisa student UK yang nempel...ditanyain tiket pulang nya saya gelagapan hahha lupa kalo saya mau studi yang gak perlu tiket balik...habis cek in jalan ke imigrasi..yang antriannya minta ampun...ditanya2 ama petugas imigrasinya gak percaya kalo saya mahasiswa beasiswa, karena pakaian saya yang lusuh karena perjalanan dari daerah ke ibukota... Habis imigrasi lumayan lega perasaannya...sambil tunggu boarding saat itu Emirates jadwal pukul 0015 cmiiw..saya sakit perut Mulu karena saking tegangnya...hahah naik pesawat untungnya di aisle karena saya tetap tegang dan pengen ke WC Mulu...paling lucu pas mpe Dubai kirain transit itu gak turun pesawat wkwkkw saya nunggu dipesawat terus mpe &quot;diusir&quot; pramugarinya karena pesawat mau dibersihkan dan saya disuruh ke transfer counter untuk melaporkan diri kalo saya mau transfer ke pesawat yang ke Newcastle...wkwkw mpe Newcastle bingung lagi karena gak tau orang yang jemput saya tunggu dimana...wkwkw hadeuh pengalaman masa lalu sungguh indah sekali...sekarang kerja di Singapore tiap bulan pulang ke Jateng naik silk air/airasia yang direct ke Semarang, Alhamdulillah...",1143,2
1,2022-12-29T15:37:52Z,Arifin Khairan,Bang jika hanya nunjukin ktp bisa gak? Di konter..  tanpa harus nunjukin bukti tiket pemesanan,1,1
2,2022-12-28T23:05:19Z,Tanjung Berkah Mandiri,Makasih dek ya untuk mengalaminya untu naik pesawat,1,2
3,2022-12-26T14:13:39Z,aaa,"Biasanya gue naik pesawat ngekor. Ortu kemana gue kesono, sekolah kemana gue nikut aja gak ngerti ?? skr gue perlu berangkat sendiri sumpah bingung ??",1,0
4,2022-11-26T01:33:36Z,meta daniarti,Pertama kali naik pesawat dari pnk menuju Jakarta tegang banget...insya Allah akhir tahun ini saya mw k Jogja pandai kangen dgn aroma udara pesawat??,1,2
5,2022-11-19T10:11:54Z,NPI eastjava,seru llo naik peswat it,1,2
6,2022-11-14T01:23:00Z,AB SPORT,Bang serius nanya. Kalo koper lebih dari 7 kg tuh kan harus dimasukin bagasi dan yg kurang dari 7 kg boleh dibawa ke kabin ya. Trus pas di pemeriksaan koper yg lebih dari 7 kg itu kopernya dibawa lagi kita yang urus apa ditinggal aja dan petugasnya yg urus?,1,1
7,2022-11-11T06:57:56Z,AnwarTun,Selamat siang bang trma kasih sudah berbagi pengalaman yang menarik,1,2
8,2022-11-09T16:53:24Z,Anwar Ar_Arafah,Cm aq mungkin yg blm prnh sm skli Naik pesawat terbang. ??,1,0
9,2022-11-09T04:04:41Z,maz fras,"Terimakasih,, sangat membantu, semoga bisa naik pesawat..",1,2
10,2022-11-06T11:20:21Z,akagami no shanks,"Mau nanya,  abg tau klw itu pesawat abg nya dari mana? Terus pas turun dari pesawat dan jln kaki itu arah nya kmna ya?",1,1
11,2022-11-05T03:42:44Z,Siti Muna,"sangatt krenn bangg coba klw lengkap dngan tutorial transit pesawat pasti lebih kreeenn????????????????????<br>sangat mmbantu dlm kesulitan org baru,,semoga sukses abg",1,2
12,2022-11-05T03:36:59Z,Siti Muna,"tutorialnya bgus bang cumn agak pusing klw org baru krna prosesnnya banyak bnget klw,,<br>apa lagi transit pesawat pasti bingun benaran????",1,1
13,2022-10-29T12:01:09Z,Arul Syahrul,"Sy blm pernah naik pesawat enak gak sih dibandingkan naik kereta,mobil dan kapal api",0,1
14,2022-10-27T11:57:20Z,Vira Agustina,"Terimakasih kak tutorialnya kakk, semoga penerbangan pertamaku besok dilancarkan????????",1,2
15,2022-10-24T03:43:27Z,Siti era,Baru jakarta bandung haaaaa,1,1
